student_name,exam_mode,tot_question,tot_que_attempted,que_att_within_idl_time,idl_time_correct_que,tot_correct_que,questions_to_pass,result,tot_exam_time,exam_finish_time_in_sec,finish_time_in_min,prediction
Antoni Backshaw,center_based,40,36,25,15,36,24,pass,120,6026,100,Genuine
Antonina MacKeogh,remote,30,18,13,10,18,18,pass,90,4186,69,Genuine
April O'Duilleain,remote,30,29,6,4,13,18,fail,90,3733,62,Genuine
Archambault Saura,remote,40,15,12,0,0,24,fail,120,2083,34,Genuine
Ardella Laffin,remote,50,25,7,1,13,30,fail,150,4015,66,Genuine
Ardenia Congreve,center_based,50,16,8,0,6,30,fail,150,2526,42,Genuine
Ardis Vernazza,remote,40,20,20,19,20,24,fail,120,2452,40,Genuine
Ardys Edgell,remote,20,13,10,4,11,12,fail,60,1035,17,Genuine
Arel Donavan,remote,50,32,3,3,23,30,fail,150,7192,119,Genuine
Aridatha Henrichs,center_based,50,11,3,0,6,30,fail,150,5401,90,Genuine
Ariel Webermann,remote,20,13,5,5,12,12,pass,60,2212,36,Genuine
Arlen McSaul,remote,20,17,6,1,9,12,fail,60,3565,59,Genuine
Arleyne Azemar,remote,50,32,2,0,1,30,fail,150,1429,23,Genuine
Arlinda Gruczka,center_based,40,36,22,20,27,24,pass,120,5307,88,Genuine
Arline Kitchenman,center_based,20,16,1,1,14,12,pass,60,1107,18,Genuine
Armand Dudenie,remote,40,31,23,20,22,24,fail,120,322,5,Genuine
Arnaldo Winchurst,remote,50,24,17,10,20,30,fail,150,2472,41,Genuine
Artemas Foulstone,remote,20,19,0,0,18,12,pass,60,2797,46,Genuine
Artemis Godden,center_based,20,11,10,9,10,12,fail,60,3210,53,Genuine
Arty Dinnage,remote,40,14,0,0,8,24,fail,120,1619,26,Genuine
Arvie Terrell,remote,40,17,12,9,17,24,fail,120,396,6,Genuine
Ashien Driscoll,center_based,40,30,10,2,17,24,fail,120,4536,75,Genuine
Ashley Boddie,center_based,50,34,9,2,13,30,fail,150,2121,35,Genuine
Ashly Pillans,center_based,30,26,23,23,26,18,pass,90,663,11,Cheating
Atalanta Landsman,remote,30,21,16,16,17,18,fail,90,3407,56,Genuine
Athene Janowicz,center_based,40,28,9,9,25,24,pass,120,4994,83,Genuine
Atlante Guage,remote,20,20,19,16,19,12,pass,60,386,6,Cheating
Audie Nutty,center_based,20,11,8,3,8,12,fail,60,1739,28,Genuine
August Risebarer,center_based,40,25,10,4,4,24,fail,120,1901,31,Genuine
Augustina Fearn,remote,50,14,13,11,14,30,fail,150,3001,50,Genuine
Aura Oliveto,remote,30,23,10,3,8,18,fail,90,4756,79,Genuine
Auria Gehrtz,remote,40,23,8,1,10,24,fail,120,1023,17,Genuine
Aurlie Channing,center_based,30,29,5,0,16,18,fail,90,291,4,Genuine
Aurora Josefer,remote,20,13,7,7,7,12,fail,60,2148,35,Genuine
Aurore Haggerstone,remote,40,18,12,3,4,24,fail,120,6682,111,Genuine
Austin Felipe,remote,50,26,7,5,19,30,fail,150,3096,51,Genuine
Austin Grenfell,remote,40,12,10,4,8,24,fail,120,5415,90,Genuine
Aveline Pennuzzi,remote,30,14,4,1,8,18,fail,90,871,14,Genuine
Averell Barck,remote,40,18,8,2,6,24,fail,120,2818,46,Genuine
Averell Cashley,remote,40,34,16,1,24,24,pass,120,5484,91,Genuine
Avis Garrat,remote,50,40,17,2,15,30,fail,150,7911,131,Genuine
Avram Blundon,remote,30,16,0,0,11,18,fail,90,4125,68,Genuine
Axe Eastope,remote,40,22,19,5,10,24,fail,120,2740,45,Genuine
Babbie Bartaletti,remote,30,23,21,13,18,18,pass,90,827,13,Genuine
Babbie Imrie,remote,50,32,15,15,31,30,pass,150,5605,93,Genuine
Babita Guitton,remote,30,24,16,3,21,18,pass,90,4795,79,Genuine
Bail Digance,remote,50,42,10,9,16,30,fail,150,7457,124,Genuine
Baird Lilie,remote,50,37,1,1,34,30,pass,150,5350,89,Genuine
Barbe Schule,remote,20,20,9,3,6,12,fail,60,2860,47,Genuine
Barbette Mucillo,remote,50,45,2,2,34,30,pass,150,8826,147,Genuine
Barbi Terzi,remote,20,17,7,6,14,12,pass,60,1185,19,Genuine
Barde Trenam,remote,40,27,21,2,13,24,fail,120,1650,27,Genuine
Bari Mathou,center_based,30,11,2,0,8,18,fail,90,3175,52,Genuine
Barney Boston,center_based,30,30,14,8,12,18,fail,90,422,7,Genuine
Barris Fidian,remote,20,16,15,14,16,12,pass,60,2964,49,Cheating
Barry Donaway,remote,50,41,37,27,38,30,pass,150,3389,56,Genuine
Bartie Mocher,center_based,30,26,15,14,15,18,fail,90,2357,39,Genuine
Bartlet Stocking,remote,30,22,8,6,15,18,fail,90,1254,20,Genuine
Basile Emerine,remote,30,18,17,8,10,18,fail,90,2734,45,Genuine
Bastian Barette,remote,50,29,9,7,20,30,fail,150,1979,32,Genuine
Bat Brayne,remote,20,17,1,1,7,12,fail,60,2681,44,Genuine
Beale Sibly,center_based,30,25,6,1,8,18,fail,90,3944,65,Genuine
Bear Eykelhof,remote,30,11,4,3,9,18,fail,90,2713,45,Genuine
Beatrice Berka,remote,50,41,34,15,37,30,pass,150,1226,20,Genuine
Beau Dawtre,remote,30,25,9,8,17,18,fail,90,4608,76,Genuine
Bellina Crean,remote,50,39,20,3,11,30,fail,150,4092,68,Genuine
Bendick Seville,remote,40,31,9,1,6,24,fail,120,5599,93,Genuine
Benji Trusler,center_based,20,12,7,0,1,12,fail,60,424,7,Genuine
Bent Banbridge,remote,50,46,33,11,16,30,fail,150,7806,130,Genuine
Berget Smaridge,remote,20,20,16,16,19,12,pass,60,619,10,Cheating
Berky Pridie,center_based,20,20,10,9,12,12,pass,60,100,1,Cheating
Berna Reily,remote,40,18,12,4,16,24,fail,120,1796,29,Genuine
Bernadine Beere,remote,30,24,23,22,22,18,pass,90,1866,31,Cheating
Bernete Roman,remote,20,17,2,2,14,12,pass,60,2201,36,Genuine
Bernete Veivers,remote,30,11,6,4,7,18,fail,90,4050,67,Genuine
Bernette Cairney,remote,20,19,8,1,18,12,pass,60,1197,19,Genuine
Bernita Hynes,center_based,20,11,4,4,7,12,fail,60,933,15,Genuine
Betteann Auger,center_based,40,22,21,3,14,24,fail,120,4149,69,Genuine
Bettine Faveryear,center_based,20,19,3,1,13,12,pass,60,1090,18,Genuine
Bevan Alesi,remote,30,10,6,0,3,18,fail,90,1478,24,Genuine
Bevvy Kolakovic,remote,50,41,26,15,34,30,pass,150,8429,140,Genuine
Bianka Martill,center_based,40,38,22,1,22,24,fail,120,5697,94,Genuine
Billie Antham,center_based,50,44,4,2,24,30,fail,150,327,5,Genuine
Billy Courtier,remote,30,20,8,0,7,18,fail,90,2480,41,Genuine
Bink Scola,remote,30,18,0,0,12,18,fail,90,974,16,Genuine
Blanch Belsham,remote,20,14,7,5,10,12,fail,60,2568,42,Genuine
Bliss Clementson,remote,20,12,5,1,3,12,fail,60,1850,30,Genuine
Blondie Campbell-Dunlop,remote,40,35,9,1,5,24,fail,120,5886,98,Genuine
Blondie Dickin,remote,40,11,11,2,3,24,fail,120,6287,104,Genuine
Blondy Basilone,remote,20,12,9,7,10,12,fail,60,3345,55,Genuine
Bobby Ilyushkin,remote,20,16,13,8,13,12,pass,60,2115,35,Genuine
Bobinette Iglesiaz,remote,40,20,12,7,9,24,fail,120,570,9,Genuine
Bond Buzzing,remote,50,27,8,5,27,30,fail,150,5206,86,Genuine
Bourke Formie,remote,20,13,9,6,12,12,pass,60,2931,48,Genuine
Brade Beardshall,remote,20,16,16,3,4,12,fail,60,169,2,Genuine
Breena Billany,center_based,50,47,6,5,5,30,fail,150,7285,121,Genuine
Brendis O' Liddy,remote,40,19,0,0,8,24,fail,120,578,9,Genuine
Brendon Roden,remote,30,16,1,0,15,18,fail,90,3358,55,Genuine
Brian Kleine,remote,40,33,12,6,21,24,fail,120,3693,61,Genuine
Brier Battelle,remote,30,25,8,7,19,18,pass,90,898,14,Genuine
Briggs Ash,center_based,30,11,2,0,5,18,fail,90,1187,19,Genuine
Brigit Beal,center_based,50,40,23,10,14,30,fail,150,7276,121,Genuine
Brigitta Seaton,remote,20,20,9,8,15,12,pass,60,2407,40,Cheating
Brina O' Mullan,center_based,40,27,19,9,27,24,pass,120,6838,113,Genuine
Brit O'Fihillie,center_based,40,16,8,0,15,24,fail,120,5212,86,Genuine
Brit Wheadon,remote,30,25,1,1,11,18,fail,90,1164,19,Genuine
Britteny Geraldo,center_based,50,32,29,10,13,30,fail,150,1360,22,Genuine
Brnaba Killeen,remote,40,20,10,2,5,24,fail,120,1497,24,Genuine
Brod Kemet,remote,40,11,6,6,7,24,fail,120,6002,100,Genuine
Bron Skotcher,center_based,20,14,14,12,13,12,pass,60,2013,33,Cheating
Bronnie Pettipher,center_based,50,47,32,20,28,30,fail,150,5825,97,Genuine
Bronny Jaques,center_based,50,19,2,1,14,30,fail,150,3662,61,Genuine
Bryant Beechcraft,remote,30,30,21,19,23,18,pass,90,3444,57,Cheating
Bryce Clere,remote,40,22,2,1,22,24,fail,120,352,5,Genuine
Brynn Beauvais,center_based,50,12,7,2,2,30,fail,150,8847,147,Genuine
Budd Starbeck,center_based,30,10,2,1,10,18,fail,90,4628,77,Genuine
Burnard McCormack,remote,50,12,11,8,12,30,fail,150,1325,22,Genuine
Burty Pocknoll,center_based,50,30,24,13,24,30,fail,150,5703,95,Genuine
Byron Dureden,remote,30,13,9,0,1,18,fail,90,5394,89,Genuine
Cacilia Hendrick,remote,30,29,15,5,24,18,pass,90,1439,23,Genuine
Calhoun Pendrigh,center_based,30,30,4,3,25,18,pass,90,2854,47,Genuine
Calida Fawson,remote,20,17,17,14,16,12,pass,60,3243,54,Cheating
Camilla Bohills,remote,50,15,6,6,12,30,fail,150,687,11,Genuine
Candace Undrill,center_based,30,29,27,25,28,18,pass,90,1270,21,Cheating
Candis Struss,remote,20,18,14,0,5,12,fail,60,840,14,Genuine
Cara Savin,center_based,40,18,16,15,15,24,fail,120,7123,118,Genuine
Caresa McKellar,remote,30,28,0,0,17,18,fail,90,1934,32,Genuine
Caril Dunbleton,remote,30,12,9,6,9,18,fail,90,1762,29,Genuine
Carita Richardsson,remote,50,46,5,3,19,30,fail,150,866,14,Genuine
Carla Tropman,center_based,30,16,6,2,15,18,fail,90,5238,87,Genuine
Carlina Galilee,center_based,50,38,18,14,26,30,fail,150,350,5,Genuine
Carling Kelleway,remote,20,10,1,1,5,12,fail,60,1838,30,Genuine
Carlos Escoffier,remote,30,18,10,9,13,18,fail,90,370,6,Genuine
Carlynn Seger,center_based,50,32,21,7,17,30,fail,150,8021,133,Genuine
Carma Dunlea,center_based,40,11,11,6,8,24,fail,120,3186,53,Genuine
Carmencita Storck,remote,20,18,9,4,4,12,fail,60,1727,28,Genuine
Carolan Van der Kruijs,center_based,50,36,14,1,34,30,pass,150,4726,78,Genuine
Carolus Kibbee,center_based,40,19,5,1,13,24,fail,120,1032,17,Genuine
Carolynn Humpherson,remote,40,20,20,5,15,24,fail,120,6719,111,Genuine
Carolynn Redsall,remote,40,26,3,3,25,24,pass,120,6329,105,Genuine
Caron Umpleby,center_based,30,26,13,3,11,18,fail,90,5289,88,Genuine
Carri Haggerty,remote,40,36,27,16,35,24,pass,120,7107,118,Genuine
Carrol Roll,remote,30,24,3,0,10,18,fail,90,2377,39,Genuine
Carson Duny,remote,30,23,1,1,19,18,pass,90,2683,44,Genuine
Cart Oldcote,center_based,40,13,4,3,11,24,fail,120,4806,80,Genuine
Carter Glewe,center_based,30,23,22,1,11,18,fail,90,1137,18,Genuine
Caryn Petracek,center_based,20,15,4,0,14,12,pass,60,1247,20,Genuine
Cash Bellison,remote,40,35,7,6,18,24,fail,120,6924,115,Genuine
Cassandra Shrubshall,remote,20,12,9,7,9,12,fail,60,3036,50,Genuine
Cassy Slingsby,center_based,40,34,23,21,27,24,pass,120,498,8,Genuine
Cathe Blowne,remote,30,15,3,0,7,18,fail,90,2749,45,Genuine
Cathy Robelin,remote,40,35,21,15,25,24,pass,120,4814,80,Cheating
Celestina Rodson,remote,20,17,11,2,6,12,fail,60,2410,40,Genuine
Celestine Bellamy,remote,20,15,0,0,10,12,fail,60,899,14,Genuine
Celie Butts,center_based,30,18,10,7,9,18,fail,90,4491,74,Genuine
Celina Sotham,remote,20,19,4,1,11,12,fail,60,1113,18,Genuine
Celinka Yendle,remote,40,38,21,19,26,24,pass,120,6767,112,Genuine
Celka Raspin,center_based,30,24,11,5,16,18,fail,90,823,13,Genuine
Cesaro Cownden,center_based,50,17,4,2,10,30,fail,150,2989,49,Genuine
Chandler Fraczek,remote,40,14,5,1,11,24,fail,120,5955,99,Genuine
Chandler Skayman,center_based,50,26,11,2,22,30,fail,150,8336,138,Genuine
Chandra Knutsen,remote,40,17,8,5,8,24,fail,120,3081,51,Genuine
Charis Jiroudek,remote,40,40,2,1,32,24,pass,120,4837,80,Genuine
Charlie Cashmore,remote,30,29,19,6,11,18,fail,90,641,10,Genuine
Charmane Woodcock,center_based,50,49,39,23,30,30,pass,150,8477,141,Cheating
Che Wildbore,center_based,50,28,16,0,18,30,fail,150,8834,147,Genuine
Chelsey Falkinder,center_based,40,15,0,0,13,24,fail,120,3904,65,Genuine
Chelsey Losebie,remote,30,29,5,0,23,18,pass,90,674,11,Genuine
Chen Dogg,center_based,20,19,14,6,9,12,fail,60,2068,34,Genuine
Cherianne Anker,remote,30,12,6,3,11,18,fail,90,2849,47,Genuine
Cherice Thatcham,remote,20,11,8,1,3,12,fail,60,532,8,Genuine
Cherida Wetherby,center_based,20,15,14,0,8,12,fail,60,1888,31,Genuine
Cherie Imesen,remote,50,14,11,8,14,30,fail,150,196,3,Genuine
Cherilyn Fresson,center_based,50,41,27,8,22,30,fail,150,5657,94,Genuine
Cherish Apedaile,center_based,20,15,7,1,5,12,fail,60,1802,30,Genuine
Chev Finlay,center_based,20,15,8,3,3,12,fail,60,2677,44,Genuine
Chevalier Berndt,remote,30,16,16,2,5,18,fail,90,3003,50,Genuine
Chevalier Swaffer,remote,20,10,7,5,9,12,fail,60,472,7,Genuine
Chickie Stare,remote,30,27,3,1,11,18,fail,90,895,14,Genuine
Chrisse Geaney,remote,20,16,0,0,10,12,fail,60,3248,54,Genuine
Chrissie Kennham,remote,50,33,26,1,11,30,fail,150,1030,17,Genuine
Chrissie Rouke,remote,40,14,12,11,12,24,fail,120,6837,113,Genuine
Christel Lorkins,remote,40,29,13,11,20,24,fail,120,6575,109,Genuine
Christi Schofield,remote,20,17,12,6,9,12,fail,60,3558,59,Genuine
Christian Grishinov,remote,50,49,3,2,42,30,pass,150,7490,124,Genuine
Christiane Christophers,center_based,40,16,12,9,12,24,fail,120,2552,42,Genuine
Christie Wyard,center_based,30,21,10,0,7,18,fail,90,2966,49,Genuine
Christoforo Mackrell,remote,50,24,23,14,21,30,fail,150,1238,20,Genuine
Christoph Morter,remote,30,23,18,16,19,18,pass,90,3219,53,Genuine
Chrystel Samwaye,remote,50,32,2,1,32,30,pass,150,8638,143,Genuine
Cicily Jarrel,center_based,30,22,19,6,9,18,fail,90,5374,89,Genuine
Cindy Culley,remote,40,36,2,0,24,24,pass,120,3205,53,Genuine
Cindy Dikles,center_based,30,17,4,0,14,18,fail,90,2800,46,Genuine
Cirilo Macci,remote,50,12,4,4,10,30,fail,150,7791,129,Genuine
Cissy Pleaden,remote,50,14,14,3,5,30,fail,150,5300,88,Genuine
Claire Blofeld,remote,40,31,26,17,29,24,pass,120,4142,69,Genuine
Claire Gaitskell,remote,40,30,24,0,4,24,fail,120,1722,28,Genuine
Clareta Tilburn,center_based,50,42,36,2,28,30,fail,150,3881,64,Genuine
Clarinda Reekie,remote,30,17,0,0,16,18,fail,90,1487,24,Genuine
Clarine Menpes,center_based,20,13,4,4,11,12,fail,60,1598,26,Genuine
Clark Alflatt,center_based,50,27,2,2,6,30,fail,150,4990,83,Genuine
Claudie Mobley,remote,30,27,6,0,1,18,fail,90,3058,50,Genuine
Claus Santer,center_based,50,16,6,1,13,30,fail,150,5760,96,Genuine
Clay Rennles,center_based,20,12,7,4,10,12,fail,60,3007,50,Genuine
Clea Pine,center_based,40,27,0,0,10,24,fail,120,3480,58,Genuine
Clea Quincee,center_based,50,36,9,8,8,30,fail,150,8557,142,Genuine
Cleo Aimable,center_based,50,32,14,0,17,30,fail,150,2288,38,Genuine
Cleopatra Grayer,center_based,20,20,7,2,20,12,pass,60,511,8,Genuine
Cletus Woodberry,remote,20,11,9,3,9,12,fail,60,333,5,Genuine
Clint Bortol,remote,20,14,8,3,14,12,pass,60,1046,17,Genuine
Cloris Lodevick,remote,40,11,11,8,9,24,fail,120,3083,51,Genuine
Clyve Fewell,center_based,20,19,14,12,14,12,pass,60,378,6,Cheating
Clyve Puddefoot,remote,40,35,21,6,34,24,pass,120,2638,43,Genuine
Cobbie Stennet,remote,50,11,4,0,1,30,fail,150,5161,86,Genuine
Codie Besnardeau,remote,20,13,10,2,4,12,fail,60,3032,50,Genuine
Collie Waylen,remote,20,12,6,3,7,12,fail,60,2364,39,Genuine
Colver Corser,remote,40,20,2,2,11,24,fail,120,1633,27,Genuine
Conny Livesey,remote,40,17,16,13,14,24,fail,120,6274,104,Genuine
Conroy McRinn,remote,50,39,3,3,16,30,fail,150,923,15,Genuine
Constantina Mounsey,center_based,50,43,3,2,43,30,pass,150,5693,94,Genuine
Constantina Pencott,remote,50,40,7,3,8,30,fail,150,3008,50,Genuine
Conway Higgonet,remote,20,11,5,1,6,12,fail,60,2094,34,Genuine
Cooper Gail,remote,40,33,8,5,23,24,fail,120,2835,47,Genuine
Corabel de Vaen,remote,40,30,25,17,28,24,pass,120,4855,80,Genuine
Corbet Broom,center_based,20,19,14,8,12,12,pass,60,2209,36,Cheating
Cori Lafay,center_based,20,20,11,3,11,12,fail,60,1107,18,Genuine
Corilla Robyns,remote,20,17,16,16,16,12,pass,60,303,5,Cheating
Corine Strauss,center_based,20,16,4,1,9,12,fail,60,439,7,Genuine
Corinna Patchett,center_based,30,20,8,3,18,18,pass,90,4511,75,Genuine
Coriss Eagle,center_based,40,25,5,1,20,24,fail,120,762,12,Genuine
Corliss Gerrelts,center_based,50,19,13,6,8,30,fail,150,5860,97,Genuine
Corny Dreakin,remote,30,19,3,0,0,18,fail,90,1486,24,Genuine
Corri Littley,remote,40,27,1,0,20,24,fail,120,6749,112,Genuine
Corrinne Anmore,remote,40,20,19,8,8,24,fail,120,84,1,Genuine
Cort Wakefield,remote,40,37,15,5,11,24,fail,120,3765,62,Genuine
Cosetta Gerhartz,center_based,20,11,9,2,3,12,fail,60,732,12,Genuine
Cosimo Ovise,remote,40,33,30,1,6,24,fail,120,2243,37,Genuine
Costanza Punshon,remote,30,29,7,2,14,18,fail,90,3661,61,Genuine
Courtenay Bjorkan,center_based,50,11,6,1,11,30,fail,150,6204,103,Genuine
Courtnay Jeannaud,center_based,50,24,6,1,7,30,fail,150,2321,38,Genuine
Courtney Dingsdale,remote,50,14,11,2,2,30,fail,150,8847,147,Genuine
Craggie Gascoyne,remote,30,16,0,0,4,18,fail,90,5248,87,Genuine
Craggie MacAlpin,remote,30,13,5,5,5,18,fail,90,2515,41,Genuine
Craggy Hurt,remote,30,14,14,13,14,18,fail,90,3838,63,Genuine
Creighton June,remote,30,19,6,5,19,18,pass,90,4188,69,Genuine
Creighton Kewley,center_based,20,14,8,6,8,12,fail,60,2962,49,Genuine
Crichton Grocock,remote,30,15,6,5,15,18,fail,90,1280,21,Genuine
Crissy Wyburn,center_based,30,18,14,7,18,18,pass,90,3987,66,Genuine
Cristian Reynish,remote,50,35,6,2,9,30,fail,150,7057,117,Genuine
Cristionna Bamell,remote,20,16,13,13,14,12,pass,60,2939,48,Cheating
Cristionna Oriel,remote,40,30,16,5,25,24,pass,120,6967,116,Genuine
